Director with the best selling movies: Herman Yau, with a total gross of 15,824,268,249.00

+--------------------------------------+-----------------+
|personName                            |total_gross      |
|Martin Campbell                       |2,063,232,304.00 |
|James Mangold                         |2,056,053,806.00 |
|Lilly Wachowski                       |2,048,187,723.00 |
|Jon M. Chu                            |2,038,709,722.00 |
|Rich Moore                            |2,023,021,689.00 |
|Jon Watts                             |2,012,166,924.00 |
|Spiro Razatos                         |1,998,700,000.00 |
|Richard Donner                        |1,970,220,034.00 |
|Rob Minkoff                           |1,936,102,071.00 |
|Rob Marshall                          |1,916,041,489.00 |
|Dean DeBlois                          |1,914,097,582.00 |
|Wolfgang Petersen                     |1,898,511,031.00 |
|Lee Unkrich                           |1,877,508,965.00 |
|Elizabeth West                        |1,875,357,129.00 |
|John T Davis                          |1,875,000,000.00 |
|Ivan Reitman                          |1,862,289,992.00 |
|Mike Mitchell                         |1,827,800,000.00 |
|Mike Newell                           |1,827,338,236.00 |
|John Woo                              |1,823,746,460.00 |
|Peter Farrelly                        |1,814,500,000.00 |
|Joseph Kosinski                       |1,805,491,858.00 |
|Garry Marshall                        |1,797,112,121.00 |
|Jay Roach                             |1,796,434,419.00 |
|Akio Jissoji                          |1,794,066,218.00 |
|Dennis Dugan                          |1,792,674,290.00 |
|Tom Hooper                            |1,778,283,911.00 |
|Manuel Estudillo                      |1,776,000,000.00 |
|Taika Waititi                         |1,752,145,054.00 |
|Joe Johnston                          |1,741,778,811.00 |
|Greta Gerwig                          |1,729,359,737.00 |
|Alfonso Cuarón                        |1,718,249,949.00 |
|John Lasseter                         |1,717,270,826.00 |
|Marina Razbezhkina                    |1,716,000,000.00 |
|Gô Shichitaka                         |1,704,000,000.00 |
|Ang Lee                               |1,701,904,612.00 |
|Joel Schumacher                       |1,676,254,952.00 |
|Ruben Fleischer                       |1,622,104,658.00 |
|Dominica Harrison                     |1,621,000,000.00 |
|Antonino Isordia Llamazares           |1,618,000,000.00 |
|J.A. Bayona                           |1,616,200,000.00 |
|Dug Rotstein                          |1,603,674,936.00 |
|Paul W.S. Anderson                    |1,602,600,000.00 |
|Rian Johnson                          |1,593,000,010.00 |
|Gareth Edwards                        |1,592,842,580.00 |
|Byron Howard                          |1,592,321,689.00 |
|Simon J. Smith                        |1,580,915,621.00 |
|D.J. Caruso                           |1,572,809,722.00 |
|Marc Webb                             |1,572,712,986.00 |
|Peter Berg                            |1,571,200,000.00 |
|Rob Letterman                         |1,569,630,304.00 |
|Rex Bloomstein                        |1,566,000,000.00 |
|Richard Lowenstein                    |1,562,012,500.00 |
|Chris Buck                            |1,555,931,383.00 |
|Paul Greengrass                       |1,540,586,744.00 |
|Chris Weitz                           |1,538,259,252.00 |
|Robert Rodriguez                      |1,533,357,354.00 |
|Stephen Sommers                       |1,530,237,184.00 |
|Raja Gosnell                          |1,509,300,000.00 |
|Doug Liman                            |1,508,142,356.00 |
|Bobby Farrelly                        |1,505,400,000.00 |
|Andy Muschietti                       |1,483,101,537.00 |
|Tun Fei Mou                           |1,473,133,000.00 |
|Rob Cohen                             |1,470,467,375.00 |
|Carlos Almón Muñoz                    |1,469,000,000.00 |
