Director with the best selling movies: Herman Yau, with a total gross of 15,824,268,249.00

+--------------------------------------+-----------------+
|personName                            |total_gross      |
|Matthew López                         |0.00             |
|Peter Findlay                         |0.00             |
|Derek Presley                         |0.00             |
|Adam B Stein                          |0.00             |
|Yoon Ga-eun                           |0.00             |
|Beth McCarthy-Miller                  |0.00             |
|Mounia Meddour                        |0.00             |
|Alla Kovgan                           |0.00             |
|Anthony Jerjen                        |0.00             |
|Gopal B                               |0.00             |
|Steven Hoggard                        |0.00             |
|Antonio Messana                       |0.00             |
|Jörn Donner                           |0.00             |
|Simon Stone                           |0.00             |
|Bryan Poyser                          |0.00             |
|Britta Sjogren                        |0.00             |
|Winnie Cheung                         |0.00             |
|Bruce MacFarlane                      |0.00             |
|Yoo Seon-dong                         |0.00             |
|Mathieu Berthon                       |0.00             |
|Hans Quest                            |0.00             |
|Georges Clair                         |0.00             |
|José Díaz Morales                     |0.00             |
|Guitty Mojabi                         |0.00             |
|Shahram Shah Hosseini                 |0.00             |
|Doug jipson                           |0.00             |
|Maria Pulera                          |0.00             |
|Tomohiko Itou                         |0.00             |
|Kengo Furusawa                        |0.00             |
|Thaddeus O'Sullivan                   |0.00             |
|Alan J. Levi                          |0.00             |
|Nobuhiro Yamashita                    |0.00             |
|Richard Boden                         |0.00             |
|Jérōme Cornuau                        |0.00             |
|Richard Irving                        |0.00             |
|Ludovic Boukherma                     |0.00             |
|Yim Soon-rye                          |0.00             |
|Kamel Ouali                           |0.00             |
|Daishi Matsunaga                      |0.00             |
|João Daniel Tikhomiroff               |0.00             |
|Yasufumi Soejima                      |0.00             |
|Larry Kent                            |0.00             |
|Oliver Stiller                        |0.00             |
|Brian Coyne                           |0.00             |
|Werner Boote                          |0.00             |
|Paula Hernández                       |0.00             |
|Laura Terruso                         |0.00             |
|Purnendu Pattrea                      |0.00             |
|Carlos Martín                         |0.00             |
|Kamilah Forbes                        |0.00             |
|Pep Martínez                          |0.00             |
|Kasturi Raja                          |0.00             |
|Jenny DeYong                          |0.00             |
|Saahil Saple                          |0.00             |
|Alexandre Jollien                     |0.00             |
|Dionysis Atzarakis                    |0.00             |
|Daisuke Ono                           |0.00             |
|Caryn Waechter                        |0.00             |
|James Kapner                          |0.00             |
|Prarthana Mohan                       |0.00             |
|James Mathers                         |0.00             |
|Hunsur Krishnamurthy                  |0.00             |
|Max Mack                              |0.00             |
|Guillermo Chapa                       |0.00             |
|Josh Muscatine                        |0.00             |
|Matthew A. Brown                      |0.00             |
|Laia Foguet                           |0.00             |
|Russell Michaels                      |0.00             |
|JP Dutta                              |0.00             |
|V. Umakanth                           |0.00             |
|Bill Wolf                             |0.00             |
|Brian Petsos                          |0.00             |
|Erró                                  |0.00             |
|Jean-Michel Boesch                    |0.00             |
|Enrique Queirolo                      |0.00             |
|Juliette Laurent                      |0.00             |
|Anand Kamalakar                       |0.00             |
|Steven Oritt                          |0.00             |
|Gabriel Braga                         |0.00             |
|Marie-Christine Courtès               |0.00             |
|Bill Yahraus                          |0.00             |
|Michelle Gabriel                      |0.00             |
|James Whitney                         |0.00             |
|Elio Petri                            |0.00             |
|Arman Nshanian                        |0.00             |
|Daniel Robbins                        |0.00             |
|Arnaud Bouron                         |0.00             |
|Tom Poole                             |0.00             |
|Abbas Alibhai Burmawalla              |0.00             |
|Ciro Ceruti                           |0.00             |
|Kazik Radwanski                       |0.00             |
|Nick Easton                           |0.00             |
|Joseph L Anderson                     |0.00             |
|Stefan Bartmann                       |0.00             |
|Brent Leoni                           |0.00             |
|Robert Fischer                        |0.00             |
|Thierry Thomas                        |0.00             |
|Jacques Renard                        |0.00             |
|Jirô Nagae                            |0.00             |
|Pascal Plante                         |0.00             |
|Catalina Jordan Alvarez               |0.00             |
|Patrick Pineda                        |0.00             |
|Riley Wood                            |0.00             |
|Evan Morgan                           |0.00             |
|Isa Melo                              |0.00             |
|Patrick Jackson                       |0.00             |
|João Gabriel                          |0.00             |
|Harrod Blank                          |0.00             |
|Jean Gourguet                         |0.00             |
|Ha Won-joon                           |0.00             |
|Miyamoto Hiroshi                      |0.00             |
|DW Kann                               |0.00             |
|Melis Ubukeyev                        |0.00             |
|Remy Clarke                           |0.00             |
|Donna Miller                          |0.00             |
|Gerard Daly                           |0.00             |
|Jan Zajícek                           |0.00             |
|Yuuki Yamato                          |0.00             |
|Andrew Renzi                          |0.00             |
|Graham Moore                          |0.00             |
|Christopher Alender                   |0.00             |
|Caylee So                             |0.00             |
|Jason DeVan                           |0.00             |
|Remi Weekes                           |0.00             |
|Kiril Trajkovski                      |0.00             |
|Domenico Gambino                      |0.00             |
|Victor Cruz                           |0.00             |
|Natan Lerner                          |0.00             |
|Bryan Gaynor                          |0.00             |
|Toshio Okuwaki                        |0.00             |
|Pedro Amalio López                    |0.00             |
|Alice Terry                           |0.00             |
|Annie Sprinkle                        |0.00             |
|Bennett Chandler                      |0.00             |
|Abigail Child                         |0.00             |
|C. David Lochner                      |0.00             |
|Riccardo Russo                        |0.00             |
|David Denneen                         |0.00             |
|Alankrita Shrivastava                 |0.00             |
|Jeffrey Day                           |0.00             |
|Herbert Rimbach                       |0.00             |
|Aoife McArdle                         |0.00             |
|Lambert Hillyer                       |0.00             |
|Léa Fazer                             |0.00             |
|Şerif Gören                           |0.00             |
|Robert Small                          |0.00             |
|Hiroyuki Oki                          |0.00             |
|Mark Deeble                           |0.00             |
|Corrado Farina                        |0.00             |
|Sean Astin                            |0.00             |
|Michael Kirk                          |0.00             |
|Alan Bennett                          |0.00             |
|Kim J Ok                              |0.00             |
|Candé Salles                          |0.00             |
|Robi Michael                          |0.00             |
|Andrew L. Schmidt                     |0.00             |
|Muayad Alayan                         |0.00             |
|Miguel Cohan                          |0.00             |
|Bob Wilkinson                         |0.00             |
|Alfonso Rodríguez                     |0.00             |
|Jake Auerbach                         |0.00             |
|Addison Wright                        |0.00             |
|Joseph Lavender                       |0.00             |
|Sandy Whitelaw                        |0.00             |
|Sergiu Negulici                       |0.00             |
|Claude Gagnon                         |0.00             |
|Pascal Rocteur                        |0.00             |
|Fernando Matos Silva                  |0.00             |
|Àlex Pastor                           |0.00             |
|Quentin Lazzarotto                    |0.00             |
|Gaëlle Royer                          |0.00             |
|Dominique Schilling                   |0.00             |
|Sung-ok Kim                           |0.00             |
|Alan Byron                            |0.00             |
|Denis Frison                          |0.00             |
|Michael Schmidt                       |0.00             |
|Alex Marchand                         |0.00             |
|Kwok Hung Lau                         |0.00             |
|Yui-Ming Tam                          |0.00             |
|Patrice Laliberté                     |0.00             |
|Jean-Pierre Blanc                     |0.00             |
|William Klein                         |0.00             |
|Philip Selkirk                        |0.00             |
|Franck Pagnon                         |0.00             |
|Philippe Baylaucq                     |0.00             |
|Anne-Marie Sirois                     |0.00             |
|Jagannathan                           |0.00             |
|Kyoung-Rock Ham                       |0.00             |
|Nanabhai Bhatt                        |0.00             |
|Dawid Krepski                         |0.00             |
|Noboru Ishiguro                       |0.00             |
|Andy Newbery                          |0.00             |
|John Waxxx                            |0.00             |
|Sammaria Simanjuntak                  |0.00             |
|Finn Callan                           |0.00             |
|Malin Erixon                          |0.00             |
|Paul Grimault                         |0.00             |
|Lisa Marie Gamlem                     |0.00             |
|Antonio Margheriti                    |0.00             |
|Daniel Ringey                         |0.00             |
|Jonathon Narducci                     |0.00             |
|Neshe Demir                           |0.00             |
|Andrzej Kondratiuk                    |0.00             |
|Lisa Mulcahy                          |0.00             |
|Allan Harmon                          |0.00             |
|Antonio Guerriero                     |0.00             |
|Ross Stewart                          |0.00             |
|Diego Bianchi                         |0.00             |
|Evgeniy Bedarev                       |0.00             |
|Johannes Grieser                      |0.00             |
|Joan-Baptista Bellsolell              |0.00             |
|Vitor Mafra                           |0.00             |
|Luis Pinheiro                         |0.00             |
|Maria Theresia Wagner                 |0.00             |
|Thomas Meadmore                       |0.00             |
|Shirin Neshat                         |0.00             |
|Nabi Gholizadeh                       |0.00             |
|Caru Alves de Souza                   |0.00             |
|Collin Monda                          |0.00             |
|Martin Eckermann                      |0.00             |
|Philippe Muyl                         |0.00             |
|Emmanuel Osei-Kuffour                 |0.00             |
|Martin Desmond Roe                    |0.00             |
|Sasha Gelbart                         |0.00             |
|Nia Di Nata                           |0.00             |
|Matt Hill                             |0.00             |
|JD Cochran                            |0.00             |
|Keiichirō Saitō                       |0.00             |
|Amanda Kramer                         |0.00             |
|Jirí Krejcík                          |0.00             |
|Matthew Taylor Blais                  |0.00             |
|Juichiro Yamasaki                     |0.00             |
|Ulf Marquardt                         |0.00             |
|Caroline Fourest                      |0.00             |
|Rémy Cayuela                          |0.00             |
|Daisuke Onitsuka                      |0.00             |
|Tom Graeff                            |0.00             |
|Tetsuo Yasumi                         |0.00             |
|Stefano Belisari                      |0.00             |
|Filipe Henriques                      |0.00             |
|Fabiana Sargentini                    |0.00             |
|Marcel Dumont                         |0.00             |
|Daniel Loflin                         |0.00             |
|Marco Turco                           |0.00             |
|Vili Tzankov                          |0.00             |
|Itaru Era                             |0.00             |
|Georges Delance                       |0.00             |
|Tim Gordon                            |0.00             |
|Michael Herbig                        |0.00             |
|Aaron Sain                            |0.00             |
|Anthony Maras                         |0.00             |
|Franck Ekinci                         |0.00             |
|Rolando Ravello                       |0.00             |
|Virdil Widrich                        |0.00             |
|Bertrand Mandico                      |0.00             |
|Fabrizio Biggio                       |0.00             |
|Ken Anderson                          |0.00             |
|M. Çağatay Tosun                      |0.00             |
|Shin Misawa                           |0.00             |
|Jun Kawagoe                           |0.00             |
|Jason Hreno                           |0.00             |
|Sérgio Bittencourt                    |0.00             |
|Alexandre Coffre                      |0.00             |
|Roman Buchok                          |0.00             |
|Peter Svatek                          |0.00             |
|Ari Novak                             |0.00             |
|Humberto Hinojosa                     |0.00             |
|Luigi Filippo D'Amico                 |0.00             |
|M. Krishnan Nair                      |0.00             |
|Dan Abraham                           |0.00             |
|Estelle Larrivaz                      |0.00             |
|Tobias Mennle                         |0.00             |
|Simon Bell                            |0.00             |
|Alfredo Sternheim                     |0.00             |
|Lee Hae-young                         |0.00             |
|Satoru Nakajima                       |0.00             |
|Javier Kühn                           |0.00             |
|Pierre Haski                          |0.00             |
|François Begaudeau                    |0.00             |
|Jeroen Perceval                       |0.00             |
|Ozcar Ramírez González                |0.00             |
|Dana Vávrová                          |0.00             |
|John McIntyre                         |0.00             |
|Darrell Van Citters                   |0.00             |
|Brittany Snow                         |0.00             |
|Wolfgang Staudte                      |0.00             |
|Mariano Frigerio                      |0.00             |
|William Friese-Greene                 |0.00             |
|Jean Laviron                          |0.00             |
|Sergio Andrade                        |0.00             |
|Wash Rogers                           |0.00             |
|Jared Marino                          |0.00             |
|Carlos Ramos                          |0.00             |
|Yoshitaka Mori                        |0.00             |
|Pedro Varela                          |0.00             |
|William L. Cochran                    |0.00             |
|Shing Hon Lau                         |0.00             |
|Dolly Wells                           |0.00             |
|Andre Dip                             |0.00             |
|Masanobu Deme                         |0.00             |
|Alice Wu                              |0.00             |
|Bruno H. Castro                       |0.00             |
|René Frölke                           |0.00             |
|Thomas Borch Nielsen                  |0.00             |
|Zou Peng                              |0.00             |
|Roberto Bangura                       |0.00             |
|Cécile Ducrocq                        |0.00             |
|Theron E. Patrick                     |0.00             |
|Robert Hawk                           |0.00             |
|Clarice Saliby                        |0.00             |
|Franz Wenzler                         |0.00             |
|Bernard Taisant                       |0.00             |
|Dietmar Brehm                         |0.00             |
|Steve Mykolyn                         |0.00             |
|Nick Brandestini                      |0.00             |
|Julian Doyle                          |0.00             |
|Joji Koyama                           |0.00             |
|Cho Jung-rae                          |0.00             |
|Joshua Friedlander                    |0.00             |
|Michel Gast                           |0.00             |
|Noburô Ôfuji                          |0.00             |
|Johnny Legarda                        |0.00             |
|Stephen Gallacher                     |0.00             |
|Michal Dudziewicz                     |0.00             |
|David Blair                           |0.00             |
|Agnes Ng                              |0.00             |
|Ben Foster                            |0.00             |
|Mark W. Gray                          |0.00             |
|Giulio Manfredonia                    |0.00             |
|Thomas Burstyn                        |0.00             |
|Kike Maíllo                           |0.00             |
|Charles Binamé                        |0.00             |
|Geraldo Affonso Miranda               |0.00             |
|Rudolf Ising                          |0.00             |
|Bruce Johnson                         |0.00             |
|Robin Lough                           |0.00             |
|Jeevan Reddy                          |0.00             |
|Matthew Amos                          |0.00             |
|Vijay Lalwani                         |0.00             |
|Edouard Bergeon                       |0.00             |
|Lorenzo Gabriele                      |0.00             |
|P Subramaniam                         |0.00             |
|Richard Bird                          |0.00             |
|Pia Bovin                             |0.00             |
|Maurizio Zaccaro                      |0.00             |
|Lee Jung-Sub                          |0.00             |
|Joseph Lejtes                         |0.00             |
|David Grossman                        |0.00             |
|Hong Seung-wan                        |0.00             |
|Will Sharpe                           |0.00             |
|James H White                         |0.00             |
|Angling Sagaran                       |0.00             |
|Dino Risi                             |0.00             |
|Zach Gayne                            |0.00             |
|Mohan Roop                            |0.00             |
|Alice Vial                            |0.00             |
|Tim Frakes                            |0.00             |
|Johny Antony                          |0.00             |
|Clémence Poésy                        |0.00             |
|Justin McConnell                      |0.00             |
|Edward Feuer                          |0.00             |
|Loren Bivens                          |0.00             |
|Torsten Berg                          |0.00             |
|Tristan Schulmann                     |0.00             |
|Partho Ghosh                          |0.00             |
|Fabrice Bracq                         |0.00             |
|Hiroaki Higashi                       |0.00             |
|Anup Singh                            |0.00             |
|Andrew Leavold                        |0.00             |
|Julian Józef Antonisz                 |0.00             |
|Pablo Llorca                          |0.00             |
|Chris W. Freeman                      |0.00             |
|Nam Dae-joong                         |0.00             |
|Michael Rianda                        |0.00             |
|Christopher Renz                      |0.00             |
|Léo Bizeul                            |0.00             |
|Jo Jung-hee                           |0.00             |
|Hassen Ferhani                        |0.00             |
|You-Cheng Huang                       |0.00             |
|Malindi Fickle                        |0.00             |
|Julia Trouvé                          |0.00             |
|Seymour Berns                         |0.00             |
|Camille Billops                       |0.00             |
|Raúl de Anda                          |0.00             |
|Jaap Speyer                           |0.00             |
|Avital Ash                            |0.00             |
|Brian James Crewe                     |0.00             |
|Curt Truninger                        |0.00             |
|Shô Igarashi                          |0.00             |
|Lissette Feliciano                    |0.00             |
|Nathanael Matanick                    |0.00             |
|Pip Chodorov                          |0.00             |
|Cristiano Anania                      |0.00             |
|Jacques Natanson                      |0.00             |
|Elaine Bass                           |0.00             |
|Lim Jun-hyun                          |0.00             |
|Ramón Barreiro                        |0.00             |
|Jean-Daniel Pollet                    |0.00             |
|Andrew Osborne                        |0.00             |
|Roberto Bolle                         |0.00             |
|Hirotoshi Rissen                      |0.00             |
|Mark Baldo                            |0.00             |
|Tatsuya Ishihara                      |0.00             |
|Chuck Konzelman                       |0.00             |
|Peter Wellington                      |0.00             |
|Andrew Cymek                          |0.00             |
|Chiwetel Ejiofor                      |0.00             |
|Scott Thomas                          |0.00             |
|Tim Divar                             |0.00             |
|Paul Wheeler                          |0.00             |
|Craig Newman                          |0.00             |
|Nadine Pequeneza                      |0.00             |
|Lulu Wang                             |0.00             |
|Girish Dhamija                        |0.00             |
|Tim O'Donnell                         |0.00             |
|Karsten Wichniarz                     |0.00             |
|Tova Magnusson                        |0.00             |
|David Thompson                        |0.00             |
|Benjamin Meade                        |0.00             |
|Greg Grainger                         |0.00             |
|Abrar Hussain                         |0.00             |
|James Alexandrou                      |0.00             |
|Christian Leblé                       |0.00             |
|Tom Gould                             |0.00             |
|Sharon Liese                          |0.00             |
|Evandro Scorsin                       |0.00             |
|Robert C. Treveiler                   |0.00             |
|Pawel Borowski                        |0.00             |
|Chris Garbutt                         |0.00             |
|Curtis Everitt                        |0.00             |
|Manolo Matji                          |0.00             |
|K. S. Sethumadhavan                   |0.00             |
|Harry Piel                            |0.00             |
|Marie Le Floc'h                       |0.00             |
|R. Raghuraj                           |0.00             |
|Kim Burdon                            |0.00             |
|Eldar Shengelaia                      |0.00             |
|Jodie Mack                            |0.00             |
|Jung Da-Woon                          |0.00             |
|Werner Nekes                          |0.00             |
|Andrius Žiurauskas                    |0.00             |
|Ryu Jang-ha                           |0.00             |
|Ergo Kuld                             |0.00             |
|Kim Sun-ung                           |0.00             |
|Stéphane Tchalgadjieff                |0.00             |
|Max Pachman                           |0.00             |
|Todd Thompson                         |0.00             |
|Bruno Bontzolakis                     |0.00             |
|Hervé Eric Lengani                    |0.00             |
|Didier Vasseur                        |0.00             |
|Cecelia Condit                        |0.00             |
|Jonathan West                         |0.00             |
|Mélanie Rossignol                     |0.00             |
|Leo Seltzer                           |0.00             |
|George Bilson                         |0.00             |
|BenDavid Grabinski                    |0.00             |
|L. Ruhland                            |0.00             |
|Nicolas Pariser                       |0.00             |
|Oliver Alaluukas                      |0.00             |
|Joseph Gal-Ezer                       |0.00             |
|Wilfried Bolliger                     |0.00             |
|Hans Herbots                          |0.00             |
|William Joyce                         |0.00             |
|Michael Matthews                      |0.00             |
|Henry Jacobson                        |0.00             |
|Dibakar Banerjee                      |0.00             |
|Hong Sung-ho                          |0.00             |
|Marcel Camus                          |0.00             |
|Maggie Gyllenhaal                     |0.00             |
|Philippe Lefebvre                     |0.00             |
|Rob Houwer                            |0.00             |
|Salomón Askenazi                      |0.00             |
|Angelina Maccarone                    |0.00             |
|Khaled El Halafawy                    |0.00             |
|Raymie Muzquiz                        |0.00             |
|Bruce LaBruce                         |0.00             |
|Daniel Powell                         |0.00             |
|Christian Wagner                      |0.00             |
|Lee Min-jae                           |0.00             |
|Joseph Cornell                        |0.00             |
|Bryce Dallas Howard                   |0.00             |
|Kim Soo-hyun                          |0.00             |
|Minoru Yamada                         |0.00             |
|Anna Kerrigan                         |0.00             |
|Haruhiko Mimura                       |0.00             |
|Jimmy Keyrouz                         |0.00             |
|Edward Drake                          |0.00             |
|Hugo van Lawick                       |0.00             |
|Tom Clegg                             |0.00             |
|Steve Nicholls                        |0.00             |
|Rick Skene                            |0.00             |
|Lee-Ha Kim                            |0.00             |
|Tetsuya Mariko                        |0.00             |
|Daniel Greaves                        |0.00             |
|David Prior                           |0.00             |
|Ryan Humphries                        |0.00             |
|Nicolas Saada                         |0.00             |
|Rodrigue Jean                         |0.00             |
|David Gregory                         |0.00             |
|Sam Chen                              |0.00             |
|Semyon Tumanov                        |0.00             |
|Yu Eun-jeong                          |0.00             |
|Edwin                                 |0.00             |
|Eva Sereny                            |0.00             |
|William Szarka                        |0.00             |
|George Pearson                        |0.00             |
|Parijat Joshi                         |0.00             |
|Ladislav Smoljak                      |0.00             |
|Apirak Samudkitpaisan                 |0.00             |
|Daniel Sinclair                       |0.00             |
|Jesús Garay                           |0.00             |
|Jasmin Dizdar                         |0.00             |
|Hazel Bell-Koski                      |0.00             |
|Andrew McConnell                      |0.00             |
|Jared Neumark                         |0.00             |
|Chang-dong Lee                        |0.00             |
|Norberto López Amado                  |0.00             |
|Lee Ho-jae                            |0.00             |
|Giorgio Capitani                      |0.00             |
|Volker Vogeler                        |0.00             |
|Mario Rouleau                         |0.00             |
|John Alexander                        |0.00             |
|Ward Kimball                          |0.00             |
|Ed Burke                              |0.00             |
|Gbenga Akinnagbe                      |0.00             |
|Benjamin Whalley                      |0.00             |
|Sylvie Blum                           |0.00             |
|Florian Zeller                        |0.00             |
|Mengying Dai                          |0.00             |
|Farzad Motamen                        |0.00             |
|Gaspar Antillo                        |0.00             |
|Daniel E. Catullo                     |0.00             |
|Peter Beringer                        |0.00             |
|Benjamin Carle                        |0.00             |
|Franz Seitz                           |0.00             |
|Ulrich Schamoni                       |0.00             |
|Marco Bonfanti                        |0.00             |
|Alex Ferrini                          |0.00             |
|Ellen Fiske                           |0.00             |
|Brett Driver                          |0.00             |
|Geraldo Sarno                         |0.00             |
|Matthew Ogens                         |0.00             |
|Thomas Andrew Lawson                  |0.00             |
|Larry Golin                           |0.00             |
|Jérémy Clapin                         |0.00             |
|Kim Hyeon-ho                          |0.00             |
|Giles Alderson                        |0.00             |
|Tsitsi Dangarembga                    |0.00             |
|Mehdi Avaz                            |0.00             |
|Sarah Clift                           |0.00             |
|J.D. Gardner                          |0.00             |
|Noémie David                          |0.00             |
|Fernando Javier León Rodríguez        |0.00             |
|John Symes                            |0.00             |
|Julio Aldama                          |0.00             |
|Lisa Haynes                           |0.00             |
|Gilles De Maistre                     |0.00             |
|Víctor René Ramírez Madrigal          |0.00             |
|Robert P Young                        |0.00             |
|John Kafka                            |0.00             |
|Georg Jacoby                          |0.00             |
|Ashutosh Gowariker                    |0.00             |
|Reinaldo Marcus Green                 |0.00             |
|Kerem Sanga                           |0.00             |
|Peter Watkins                         |0.00             |
|Hanns Schwarz                         |0.00             |
|Annette Baumeister                    |0.00             |
|Shin Jai-Ho                           |0.00             |
|Josh Becker                           |0.00             |
|Richard Kerr                          |0.00             |
|Edward Bazalgette                     |0.00             |
|Edward C Lilley                       |0.00             |
|Axel Sand                             |0.00             |
|Spencer Williams                      |0.00             |
|Jude Gerard Prest                     |0.00             |
|Stephen Helstad                       |0.00             |
|Ariane Mnouchkine                     |0.00             |
|Kim Sang-kyu                          |0.00             |
|Waldemar Krzystek                     |0.00             |
|Ed Glaser                             |0.00             |
|Sammy Jackson                         |0.00             |
|Clément Tréhin-Lalanne                |0.00             |
|Joan E. Biren                         |0.00             |
|Lee Joon-hak                          |0.00             |
|Raph Pappier                          |0.00             |
|Rowan Athale                          |0.00             |
|Dziga Vertov                          |0.00             |
|Fernando de Fuentes                   |0.00             |
|Charles Moisson                       |0.00             |
|Khalo Matabane                        |0.00             |
|Jaivi Dhanda                          |0.00             |
|Hellmuth Costard                      |0.00             |
|AB Raj                                |0.00             |
|Bernardo Antonaccio                   |0.00             |
|Alex de Renzy                         |0.00             |
|Veronica Gonzalez Peña                |0.00             |
|Bill Brown                            |0.00             |
|Isabel Gardela                        |0.00             |
|Aine Leicht                           |0.00             |
|Feifang Liu                           |0.00             |
|Vince Gilligan                        |0.00             |
|Mike Phillips                         |0.00             |
|Ronny Trocker                         |0.00             |
|Glenn Ghillo                          |0.00             |
|Charlotte Lim                         |0.00             |
|Alberto Grifi                         |0.00             |
|Eric Whiteley                         |0.00             |
|He Yu Men                             |0.00             |
|Daniel Aratangy                       |0.00             |
|Armand Lameloise                      |0.00             |
|Teng Hung Hsu                         |0.00             |
|Federico Rizzo                        |0.00             |
|Stéphane Ballouhey                    |0.00             |
|Julietta Korbel                       |0.00             |
|Maxime Pillonel                       |0.00             |
|Barbara Albert                        |0.00             |
|Sarah Pucill                          |0.00             |
|Jan Nemec                             |0.00             |
|Gi Dae-ho                             |0.00             |
|Dominique Deruddere                   |0.00             |
|Cho Ui-seok                           |0.00             |
|Adam Patch                            |0.00             |
|Erik Nelson                           |0.00             |
|Christoph Röhl                        |0.00             |
|Lee Eisenberg                         |0.00             |
|Heikki Aho                            |0.00             |
|Akihiko Yamashita                     |0.00             |
|Kalaivanan Kannadasan                 |0.00             |
|Hiroyuki Yokoyama                     |0.00             |
|Wayne Isham                           |0.00             |
|Mihiro Yamaguchi                      |0.00             |
|Ilppo Pohjola                         |0.00             |
|Jean-Xavier de Lestrade               |0.00             |
|Tom Woodcraft                         |0.00             |
|Cristi Puiu                           |0.00             |
|Víťo Staviarsky                       |0.00             |
|Dominique Baumard                     |0.00             |
|Stephen Broomer                       |0.00             |
|Sitisiri Mongkolsiri                  |0.00             |
|Jeff Wong                             |0.00             |
|Jeffrey Noyes Scher                   |0.00             |
|Saguenail                             |0.00             |
|Ursula Mayer                          |0.00             |
|Guillaume Caramelle                   |0.00             |
|José João Silva                       |0.00             |
|Arkadiy Tyurin                        |0.00             |
|Ramesh Varma                          |0.00             |
|Francesco Apolloni                    |0.00             |
|Scott Mactavish                       |0.00             |
|Michalis Konstantatos                 |0.00             |
|Jin Jae-woon                          |0.00             |
|Lorenzo Lanzillotti                   |0.00             |
|Audrey Diwan                          |0.00             |
|Zu Quirke                             |0.00             |
|Paula Fabiana                         |0.00             |
|Patrick Armbruster                    |0.00             |
|Frédéric Bonnet                       |0.00             |
|Andrew Vasquez                        |0.00             |
|Lynette Wallworth                     |0.00             |
|André Leduc                           |0.00             |
|Marco Besas                           |0.00             |
|Peter Livolsi                         |0.00             |
|Mary Evangelista                      |0.00             |
|Dylan Mulick                          |0.00             |
|Thomas A. Edison                      |0.00             |
|Colin Tilley                          |0.00             |
|Kothandam Ramaiah                     |0.00             |
|Simon Kaijser                         |0.00             |
|Jesús García                          |0.00             |
|Colin Teague                          |0.00             |
|Shawn Crahan                          |0.00             |
|William Phillips                      |0.00             |
|Park Noo-ri                           |0.00             |
|David Hartman                         |0.00             |
|Guy du Fresnay                        |0.00             |
|Phil Monroe                           |0.00             |
|Marguerite Duras                      |0.00             |
|Homi Adajania                         |0.00             |
|Wen Zhang                             |0.00             |
|Kwungwo Park                          |0.00             |
|Benjamin Kasulke                      |0.00             |
|Robert F. McGowan                     |0.00             |
|Shigenori Kageyama                    |0.00             |
|Reem Kherici                          |0.00             |
|Belén Macías                          |0.00             |
|Jeremy Snead                          |0.00             |
|Juliette Arnaud                       |0.00             |
|Filip Bajon                           |0.00             |
|Adam Kemp                             |0.00             |
|Masayuki Kojima                       |0.00             |
|Richard Staviarsky                    |0.00             |
|Mohit Suri                            |0.00             |
|Bhagyaraj                             |0.00             |
|Jaded Aueychimplee                    |0.00             |
|Penna Filho                           |0.00             |
|Lou Quill                             |0.00             |
|A V Rao                               |0.00             |
|Nurbek Egen                           |0.00             |
|Martin Miehe-Renard                   |0.00             |
|Christina Rosendahl                   |0.00             |
|Paul Mercier                          |0.00             |
|EW Emo                                |0.00             |
|Giorgio Simonelli                     |0.00             |
|Henri Diamant-Berger                  |0.00             |
|Thomas Freundner                      |0.00             |
|Cassidy Friedman                      |0.00             |
|László Moholy-Nagy                    |0.00             |
|Park Bae-il                           |0.00             |
|Aniëlle Webster                       |0.00             |
|Chris Henchy                          |0.00             |
|James Chankin                         |0.00             |
|Jos Op De Beeck                       |0.00             |
|Benjamin Danan                        |0.00             |
|Rohit Manash                          |0.00             |
|Fabien Meyran                         |0.00             |
|Tadashi Hiramatsu                     |0.00             |
|Robert Beavers                        |0.00             |
|Michael Mayson                        |0.00             |
|Steve Stafford                        |0.00             |
|Bo Boudart                            |0.00             |
|Hans Kristensen                       |0.00             |
|Adam Wojtek Joyce                     |0.00             |
|Jaime Ferrer                          |0.00             |
|Giuseppe De Martino                   |0.00             |
|Robert Gran                           |0.00             |
|Suse Reichel                          |0.00             |
|Tom Skerritt                          |0.00             |
|Eric Pauwels                          |0.00             |
|Gérard Cuq                            |0.00             |
|Alejandro Brugués                     |0.00             |
|John L. Spencer                       |0.00             |
|Michael Keusch                        |0.00             |
|Kelly Hallmark                        |0.00             |
|Diarmuid Lawrence                     |0.00             |
|Richard A. Colla                      |0.00             |
|Eros Vlahos                           |0.00             |
|Brett Varon                           |0.00             |
|Dave Tendlar                          |0.00             |
|Tyler Chen                            |0.00             |
|Mikael Ekman                          |0.00             |
|Antonio Usbergo                       |0.00             |
|Pablo Ángeles Zuman                   |0.00             |
|Michael Benson                        |0.00             |
|Aleem Khan                            |0.00             |
|Otto Schenk                           |0.00             |
|Maximiliano Gutiérrez                 |0.00             |
|V. Ravichandran                       |0.00             |
|Sushrut Bhagwat                       |0.00             |
|Fyodor Filippov                       |0.00             |
|Kirio Urayama                         |0.00             |
|Javier Durán                          |0.00             |
|Steven Nesbit                         |0.00             |
|Steve Carver                          |0.00             |
|Will Klipstine                        |0.00             |
|Leopoldo Laborde                      |0.00             |
|Tom Simon                             |0.00             |
|Jean-Louis Lorenzi                    |0.00             |
|Jai Love                              |0.00             |
|Manon Briand                          |0.00             |
|Peter Grönlund                        |0.00             |
|Rafael Kapelinski                     |0.00             |
|Mitch Teemley                         |0.00             |
